model,repeat,variant,language,studies,checks,valid,positive,negative,uncertain,not_mentioned,semantic_abstention,technical_failure,decided,correct,incorrect,failure_parse_error,failure_generation_truncated,TP,FP,TN,FN,correct_yield,coverage,conditional_accuracy,failure_evidence_error
medgemma,1,first_pass,English,4,48,0,0,0,0,0,0,48,0,0,0,24,24,0,0,0,0,0.0,0.0,,
medgemma,1,first_pass,Spanish,1,12,0,0,0,0,0,0,12,0,0,0,12,,0,0,0,0,0.0,0.0,,
medgemma,1,repair_assisted,English,4,48,0,0,0,0,0,0,48,0,0,0,12,36,0,0,0,0,0.0,0.0,,
medgemma,1,repair_assisted,Spanish,1,12,0,0,0,0,0,0,12,0,0,0,12,,0,0,0,0,0.0,0.0,,
medgemma,2,first_pass,English,4,48,0,0,0,0,0,0,48,0,0,0,24,24,0,0,0,0,0.0,0.0,,
medgemma,2,first_pass,Spanish,1,12,0,0,0,0,0,0,12,0,0,0,12,,0,0,0,0,0.0,0.0,,
medgemma,2,repair_assisted,English,4,48,0,0,0,0,0,0,48,0,0,0,12,36,0,0,0,0,0.0,0.0,,
medgemma,2,repair_assisted,Spanish,1,12,0,0,0,0,0,0,12,0,0,0,12,,0,0,0,0,0.0,0.0,,
qwen,1,first_pass,English,4,48,48,15,16,1,16,17,0,31,25,6,,,9,6,16,0,0.5208333333333334,0.6458333333333334,0.8064516129032258,
qwen,1,first_pass,Spanish,1,12,10,1,3,0,6,6,2,4,1,3,,,0,1,1,2,0.08333333333333333,0.3333333333333333,0.25,2
qwen,1,repair_assisted,English,4,48,48,15,16,1,16,17,0,31,25,6,,,9,6,16,0,0.5208333333333334,0.6458333333333334,0.8064516129032258,
qwen,1,repair_assisted,Spanish,1,12,10,1,3,0,6,6,2,4,1,3,,,0,1,1,2,0.08333333333333333,0.3333333333333333,0.25,2
qwen,2,first_pass,English,4,48,48,15,16,1,16,17,0,31,25,6,,,9,6,16,0,0.5208333333333334,0.6458333333333334,0.8064516129032258,
qwen,2,first_pass,Spanish,1,12,10,1,3,0,6,6,2,4,1,3,,,0,1,1,2,0.08333333333333333,0.3333333333333333,0.25,2
qwen,2,repair_assisted,English,4,48,48,15,16,1,16,17,0,31,25,6,,,9,6,16,0,0.5208333333333334,0.6458333333333334,0.8064516129032258,
qwen,2,repair_assisted,Spanish,1,12,10,1,3,0,6,6,2,4,1,3,,,0,1,1,2,0.08333333333333333,0.3333333333333333,0.25,2
rule_v1,0,first_pass,English,4,48,48,8,18,6,16,22,0,26,22,4,,,5,3,17,1,0.4583333333333333,0.5416666666666666,0.8461538461538461,
rule_v1,0,first_pass,Spanish,1,12,12,1,7,1,3,4,0,8,6,2,,,0,1,6,1,0.5,0.6666666666666666,0.75,
