condition,v2_definition,v3_definition,text_identical,engineering_review,qualified_clinical_review
ACL,ACL: high-grade partial disruption (more than 50%) or complete anterior cruciate ligament tear; isolated low-grade sprain or degeneration does not meet the target.,ACL: high-grade partial disruption (more than 50%) or complete anterior cruciate ligament tear; isolated low-grade sprain or degeneration does not meet the target.,true,identical shared definition; candidate ladder adds no numeric threshold,not_performed
MCL,MCL: high-grade acute partial or complete medial collateral ligament tear; low-grade sprain and chronic healed injury do not meet the target.,MCL: high-grade acute partial or complete medial collateral ligament tear; low-grade sprain and chronic healed injury do not meet the target.,true,identical shared definition; candidate ladder adds no numeric threshold,not_performed
Medial Meniscus,Medial Meniscus: definite medial meniscus tear or pathological morphology; isolated intrasubstance degeneration does not meet the target. An explicit report diagnosis can support a tear; do not invent image-level observations.,Medial Meniscus: definite medial meniscus tear or pathological morphology; isolated intrasubstance degeneration does not meet the target. An explicit report diagnosis can support a tear; do not invent image-level observations.,true,identical shared definition; candidate ladder adds no numeric threshold,not_performed
Lateral Meniscus,Lateral Meniscus: definite lateral meniscus tear or pathological morphology; isolated intrasubstance degeneration does not meet the target. An explicit report diagnosis can support a tear; do not invent image-level observations.,Lateral Meniscus: definite lateral meniscus tear or pathological morphology; isolated intrasubstance degeneration does not meet the target. An explicit report diagnosis can support a tear; do not invent image-level observations.,true,identical shared definition; candidate ladder adds no numeric threshold,not_performed
Medial OA,"Medial OA: medial tibiofemoral cartilage loss deeper than 50% thickness over a moderate or large area, approximately at least 1 cm in extent. Require compartment and meaningful severity/extent evidence; do not substitute osteophytes alone.","Medial OA: medial tibiofemoral cartilage loss deeper than 50% thickness over a moderate or large area, approximately at least 1 cm in extent. Require compartment and meaningful severity/extent evidence; do not substitute osteophytes alone.",true,identical shared definition; candidate ladder adds no numeric threshold,not_performed
Lateral OA,"Lateral OA: lateral tibiofemoral cartilage loss deeper than 50% thickness over a moderate or large area, approximately at least 1 cm in extent. Require compartment and meaningful severity/extent evidence; do not substitute osteophytes alone.","Lateral OA: lateral tibiofemoral cartilage loss deeper than 50% thickness over a moderate or large area, approximately at least 1 cm in extent. Require compartment and meaningful severity/extent evidence; do not substitute osteophytes alone.",true,identical shared definition; candidate ladder adds no numeric threshold,not_performed
PF OA,"PF OA: patellofemoral cartilage loss deeper than 50% thickness over a moderate or large area, approximately at least 1 cm in extent. Require compartment and meaningful severity/extent evidence; do not substitute osteophytes alone.","PF OA: patellofemoral cartilage loss deeper than 50% thickness over a moderate or large area, approximately at least 1 cm in extent. Require compartment and meaningful severity/extent evidence; do not substitute osteophytes alone.",true,identical shared definition; candidate ladder adds no numeric threshold,not_performed
Effusion,Effusion: moderate or large joint effusion. Explicit trace/small fluid is below the target threshold; unquantified fluid remains uncertain.,Effusion: moderate or large joint effusion. Explicit trace/small fluid is below the target threshold; unquantified fluid remains uncertain.,true,identical shared definition; candidate ladder adds no numeric threshold,not_performed
Synovitis,Synovitis: inflamed or thickened synovial lining. Effusion alone does not establish synovitis.,Synovitis: inflamed or thickened synovial lining. Effusion alone does not establish synovitis.,true,identical shared definition; candidate ladder adds no numeric threshold,not_performed
Baker's,Baker's: moderate or large popliteal Baker cyst. Explicit small cyst is below the target threshold; unspecified size remains uncertain.,Baker's: moderate or large popliteal Baker cyst. Explicit small cyst is below the target threshold; unspecified size remains uncertain.,true,identical shared definition; candidate ladder adds no numeric threshold,not_performed
Contusion,Contusion: traumatic bone marrow injury without a fracture line at the same site. Isolated degenerative edema does not establish contusion.,Contusion: traumatic bone marrow injury without a fracture line at the same site. Isolated degenerative edema does not establish contusion.,true,identical shared definition; candidate ladder adds no numeric threshold,not_performed
Fracture,Fracture: an acute cortical break or fracture line. A clearly healed remote fracture is outside this target; unclear timing remains uncertain.,Fracture: an acute cortical break or fracture line. A clearly healed remote fracture is outside this target; unclear timing remains uncertain.,true,identical shared definition; candidate ladder adds no numeric threshold,not_performed
